

EXPERIMENT: BIVARIATE, inc. confd shifts
METHOD: MI_ztest x SKIP
FUN_FORM: LIN

oracle
CONTEXTS_OBSSHIFT_CFDSHIFT
	METRIC:mi
			5_0_1			[f1-p] 1.0 	+-0.0 (0.0) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 1.0 	+-0.0 (0.0) 	
			5_0_0			[f1-p] 0.5 	+-0.51 (0.26) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 0.5 	+-0.51 (0.26) 	
			5_0_2			[f1-p] 1.0 	+-0.0 (0.0) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 1.0 	+-0.0 (0.0) 	
			5_0_3			[f1-p] 1.0 	+-0.0 (0.0) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 1.0 	+-0.0 (0.0) 	
			5_0_4			[f1-p] 0.5 	+-0.51 (0.26) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 0.5 	+-0.51 (0.26) 	
			5_1_0			[f1-p] 0.53 	+-0.51 (0.26) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 0.53 	+-0.51 (0.26) 	
			5_1_1			[f1-p] 0.9 	+-0.31 (0.09) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 0.9 	+-0.31 (0.09) 	
			5_1_2			[f1-p] 0.93 	+-0.25 (0.06) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 0.93 	+-0.25 (0.06) 	
			5_1_3			[f1-p] 0.87 	+-0.35 (0.12) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 0.87 	+-0.35 (0.12) 	
			5_1_4			[f1-p] 0.47 	+-0.51 (0.26) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 0.47 	+-0.51 (0.26) 	
			5_2_1			[f1-p] 0.77 	+-0.43 (0.19) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 0.77 	+-0.43 (0.19) 	
			5_2_0			[f1-p] 0.5 	+-0.51 (0.26) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 0.5 	+-0.51 (0.26) 	
			5_2_2			[f1-p] 0.83 	+-0.38 (0.14) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 0.83 	+-0.38 (0.14) 	
			5_2_3			[f1-p] 0.7 	+-0.47 (0.22) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 0.7 	+-0.47 (0.22) 	
			5_2_4			[f1-p] 0.47 	+-0.51 (0.26) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 0.47 	+-0.51 (0.26) 	
