

EXPERIMENT: exp
METHOD: MI_ztest x SKIP
FUN_FORM: NLIN

oracle
CONTEXTS_OBSSHIFT_CFDSHIFT
	METRIC:mi
			5_1_2_0_1			[f1-p] 0.0 	+-0.0 (0.0) 			[f1-c] 0.77 	+-0.18 (0.03) 			[f1-a] 0.0 	+-0.0 (0.0) 	
			5_1_3_0_1			[f1-p] 0.0 	+-0.0 (0.0) 			[f1-c] 0.77 	+-0.18 (0.03) 			[f1-a] 0.0 	+-0.0 (0.0) 	
			5_1_4_0_1			[f1-p] 0.1 	+-0.32 (0.1) 			[f1-c] 0.81 	+-0.17 (0.03) 			[f1-a] 0.1 	+-0.32 (0.1) 	
			5_1_5_0_1			[f1-p] 1.0 	+-0.0 (0.0) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 1.0 	+-0.0 (0.0) 	
			5_1_6_0_1			[f1-p] 1.0 	+-0.0 (0.0) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 1.0 	+-0.0 (0.0) 	
			5_1_7_0_1			[f1-p] 1.0 	+-0.0 (0.0) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 1.0 	+-0.0 (0.0) 	
			5_1_8_0_1			[f1-p] 1.0 	+-0.0 (0.0) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 1.0 	+-0.0 (0.0) 	
			5_1_9_0_1			[f1-p] 1.0 	+-0.0 (0.0) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 1.0 	+-0.0 (0.0) 	
			5_1_10_0_1			[f1-p] 1.0 	+-0.0 (0.0) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 1.0 	+-0.0 (0.0) 	
			5_1_11_0_1			[f1-p] 1.0 	+-0.0 (0.0) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 1.0 	+-0.0 (0.0) 	
			5_1_12_0_1			[f1-p] 1.0 	+-0.0 (0.0) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 1.0 	+-0.0 (0.0) 	
			5_1_13_0_1			[f1-p] 1.0 	+-0.0 (0.0) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 1.0 	+-0.0 (0.0) 	
			5_1_14_0_1			[f1-p] 1.0 	+-0.0 (0.0) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 1.0 	+-0.0 (0.0) 	
			5_1_15_0_1			[f1-p] 1.0 	+-0.0 (0.0) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 1.0 	+-0.0 (0.0) 	
			5_1_16_0_1			[f1-p] 1.0 	+-0.0 (0.0) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 1.0 	+-0.0 (0.0) 	
			5_1_17_0_1			[f1-p] 1.0 	+-0.0 (0.0) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 1.0 	+-0.0 (0.0) 	
			5_1_18_0_1			[f1-p] 1.0 	+-0.0 (0.0) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 1.0 	+-0.0 (0.0) 	
			5_1_19_0_1			[f1-p] 1.0 	+-0.0 (0.0) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 1.0 	+-0.0 (0.0) 	
			5_1_20_0_1			[f1-p] 1.0 	+-0.0 (0.0) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 1.0 	+-0.0 (0.0) 	
	OVERALL
		x_x_x	[tp-pairs] 979.0	[fp-pairs] 0.0	[tn-pairs] 741.0	[fn-pairs] 180.0	[f1-pairs] 0.92	+-0.1(0.32)
				[tp-adj] 979.0	[fp-adj] 0.0	[tn-adj] 646.0	[fn-adj] 180.0	[f1-adj] 0.92	+-0.1(0.32)
				[tp] 2508.0	[fp] 192.0	[tn] 1100.0	[fn] 0.0	[f1] 0.96	+-0.09(0.53)
				[jacc] 0.86	[ari] 0.89	[ami] 0.89

cocoracle
CONTEXTS_OBSSHIFT_CFDSHIFT
	METRIC:mi
