

EXPERIMENT: BIVARIATE, inc. confd shifts
METHOD: MI_ztest x KCI
FUN_FORM: NLIN

oracle
CONTEXTS_OBSSHIFT_CFDSHIFT
	METRIC:mi
			5_0_1(0.5_0.0_0.2)			[f1-p] 1.0 	+-0.0 (0.0) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 1.0 	+-0.0 (0.0) 	
			5_0_0(1.0_0.0_0.0)			[f1-p] 0.5 	+-0.51 (0.26) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 0.5 	+-0.51 (0.26) 	
			5_0_2(0.3333333333333333_0.0_0.4)			[f1-p] 1.0 	+-0.0 (0.0) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 1.0 	+-0.0 (0.0) 	
			5_0_3(0.25_0.0_0.6)			[f1-p] 1.0 	+-0.0 (0.0) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 1.0 	+-0.0 (0.0) 	
			5_0_4(0.2_0.0_0.8)			[f1-p] 0.5 	+-0.51 (0.26) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 0.5 	+-0.51 (0.26) 	
			5_1_0(2.0_0.2_0.0)			[f1-p] 0.55 	+-0.51 (0.26) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 0.55 	+-0.51 (0.26) 	
			5_1_1(1.0_0.2_0.2)			[f1-p] 0.9 	+-0.31 (0.09) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 0.9 	+-0.31 (0.09) 	
			5_1_2(0.6666666666666666_0.2_0.4)			[f1-p] 0.9 	+-0.31 (0.09) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 0.9 	+-0.31 (0.09) 	
			5_1_3(0.5_0.2_0.6)			[f1-p] 0.85 	+-0.37 (0.13) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 0.85 	+-0.37 (0.13) 	
			5_1_4(0.4_0.2_0.8)			[f1-p] 0.45 	+-0.51 (0.26) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 0.45 	+-0.51 (0.26) 	
			5_2_1(1.5_0.4_0.2)			[f1-p] 0.7 	+-0.47 (0.22) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 0.7 	+-0.47 (0.22) 	
			5_2_0(3.0_0.4_0.0)			[f1-p] 0.5 	+-0.51 (0.26) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 0.5 	+-0.51 (0.26) 	
			5_2_2(1.0_0.4_0.4)			[f1-p] 0.8 	+-0.41 (0.17) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 0.8 	+-0.41 (0.17) 	
			5_2_3(0.75_0.4_0.6)			[f1-p] 0.65 	+-0.49 (0.24) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 0.65 	+-0.49 (0.24) 	
			5_2_4(0.6_0.4_0.8)			[f1-p] 0.45 	+-0.51 (0.26) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 0.45 	+-0.51 (0.26) 	
			5_3_1(2.0_0.6_0.2)			[f1-p] 0.5 	+-0.51 (0.26) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 0.5 	+-0.51 (0.26) 	
			5_3_2(1.3333333333333333_0.6_0.4)			[f1-p] 0.5 	+-0.51 (0.26) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 0.5 	+-0.51 (0.26) 	
			5_3_3(1.0_0.6_0.6)			[f1-p] 0.5 	+-0.51 (0.26) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 0.5 	+-0.51 (0.26) 	
	OVERALL
		x_x_x	[tp-pairs] 81.0	[fp-pairs] 16.0	[tn-pairs] 164.0	[fn-pairs] 99.0	[f1-pairs] 0.58	+-3.31(6.96)
				[tp-adj] 81.0	[fp-adj] 16.0	[tn-adj] 0.0	[fn-adj] 99.0	[f1-adj] 0.58	+-3.31(6.96)
				[tp] 720.0	[fp] 0.0	[tn] 0.0	[fn] 0.0	[f1] 1.0	+-0.0(0.0)
				[jacc] 0.68	[ari] 1.0	[ami] 1.0

cocoracle
CONTEXTS_OBSSHIFT_CFDSHIFT
	METRIC:mi
			5_0_1(0.5_0.0_0.2)			[f1-p] 0.5 	+-0.51 (0.26) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 0.5 	+-0.51 (0.26) 	
			5_0_0(1.0_0.0_0.0)			[f1-p] 0.5 	+-0.51 (0.26) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 0.5 	+-0.51 (0.26) 	
			5_0_2(0.3333333333333333_0.0_0.4)			[f1-p] 0.5 	+-0.51 (0.26) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 0.5 	+-0.51 (0.26) 	
			5_0_3(0.25_0.0_0.6)			[f1-p] 0.5 	+-0.51 (0.26) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 0.5 	+-0.51 (0.26) 	
			5_0_4(0.2_0.0_0.8)			[f1-p] 0.5 	+-0.51 (0.26) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 0.5 	+-0.51 (0.26) 	
