

EXPERIMENT: BIVARIATE, inc. confd shifts
METHOD: MI_ztest x SKIP
FUN_FORM: NLIN

oracle
CONTEXTS_OBSSHIFT_CFDSHIFT
	METRIC:mi
			2_1_1			[f1-p] 0.5 	+-0.51 (0.26) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 0.5 	+-0.51 (0.26) 	
			3_1_1			[f1-p] 0.5 	+-0.51 (0.26) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 0.5 	+-0.51 (0.26) 	
			3_1_2			[f1-p] 0.5 	+-0.51 (0.26) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 0.5 	+-0.51 (0.26) 	
			3_0_2			[f1-p] 0.5 	+-0.51 (0.26) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 0.5 	+-0.51 (0.26) 	
			4_3_2			[f1-p] 0.63 	+-0.49 (0.24) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 0.63 	+-0.49 (0.24) 	
			4_2_2			[f1-p] 0.63 	+-0.49 (0.24) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 0.63 	+-0.49 (0.24) 	
			4_1_2			[f1-p] 0.83 	+-0.38 (0.14) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 0.83 	+-0.38 (0.14) 	
			4_0_2			[f1-p] 1.0 	+-0.0 (0.0) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 1.0 	+-0.0 (0.0) 	
			6_4_3			[f1-p] 0.63 	+-0.49 (0.24) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 0.63 	+-0.49 (0.24) 	
			6_3_3			[f1-p] 0.7 	+-0.47 (0.22) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 0.7 	+-0.47 (0.22) 	
			6_1_3			[f1-p] 0.93 	+-0.25 (0.06) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 0.93 	+-0.25 (0.06) 	
			6_0_3			[f1-p] 1.0 	+-0.0 (0.0) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 1.0 	+-0.0 (0.0) 	
			8_5_4			[f1-p] 0.73 	+-0.45 (0.2) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 0.73 	+-0.45 (0.2) 	
			8_4_4			[f1-p] 0.77 	+-0.43 (0.19) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 0.77 	+-0.43 (0.19) 	
			8_2_4			[f1-p] 0.97 	+-0.18 (0.03) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 0.97 	+-0.18 (0.03) 	
			8_0_4			[f1-p] 1.0 	+-0.0 (0.0) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 1.0 	+-0.0 (0.0) 	
			10_6_5			[f1-p] 0.83 	+-0.38 (0.14) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 0.83 	+-0.38 (0.14) 	
			10_5_5			[f1-p] 0.87 	+-0.35 (0.12) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 0.87 	+-0.35 (0.12) 	
			10_2_5			[f1-p] 0.87 	+-0.35 (0.12) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 0.87 	+-0.35 (0.12) 	
			10_0_5			[f1-p] 1.0 	+-0.0 (0.0) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 1.0 	+-0.0 (0.0) 	
			12_8_6			[f1-p] 0.8 	+-0.41 (0.17) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 0.8 	+-0.41 (0.17) 	
			12_6_6			[f1-p] 0.93 	+-0.25 (0.06) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 0.93 	+-0.25 (0.06) 	
			12_3_6			[f1-p] 0.93 	+-0.25 (0.06) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 0.93 	+-0.25 (0.06) 	
			12_0_6			[f1-p] 1.0 	+-0.0 (0.0) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 1.0 	+-0.0 (0.0) 	
			15_9_7			[f1-p] 0.9 	+-0.31 (0.09) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 0.9 	+-0.31 (0.09) 	
			15_7_7			[f1-p] 0.9 	+-0.31 (0.09) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 0.9 	+-0.31 (0.09) 	
