

EXPERIMENT: BIVARIATE, inc. confd shifts
METHOD: MI_ztest x SKIP
FUN_FORM: NLIN

oracle
CONTEXTS_OBSSHIFT_CFDSHIFT
	METRIC:mi
			2_1_1			[f1-p] 0.5 	+-0.51 (0.26) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 0.5 	+-0.51 (0.26) 	
			3_1_1			[f1-p] 0.5 	+-0.51 (0.26) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 0.5 	+-0.51 (0.26) 	
			3_1_2			[f1-p] 0.5 	+-0.51 (0.26) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 0.5 	+-0.51 (0.26) 	
			5_1_1			[f1-p] 0.9 	+-0.31 (0.09) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 0.9 	+-0.31 (0.09) 	
			5_1_2			[f1-p] 0.93 	+-0.25 (0.06) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 0.93 	+-0.25 (0.06) 	
			5_1_3			[f1-p] 0.87 	+-0.35 (0.12) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 0.87 	+-0.35 (0.12) 	
			8_1_1			[f1-p] 0.9 	+-0.31 (0.09) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 0.9 	+-0.31 (0.09) 	
			8_1_2			[f1-p] 0.97 	+-0.18 (0.03) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 0.97 	+-0.18 (0.03) 	
			8_1_3			[f1-p] 0.97 	+-0.18 (0.03) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 0.97 	+-0.18 (0.03) 	
			10_1_1			[f1-p] 0.97 	+-0.18 (0.03) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 0.97 	+-0.18 (0.03) 	
			10_1_2			[f1-p] 0.97 	+-0.18 (0.03) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 0.97 	+-0.18 (0.03) 	
			10_1_3			[f1-p] 0.97 	+-0.18 (0.03) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 0.97 	+-0.18 (0.03) 	
			12_1_1			[f1-p] 0.93 	+-0.25 (0.06) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 0.93 	+-0.25 (0.06) 	
			12_1_2			[f1-p] 0.97 	+-0.18 (0.03) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 0.97 	+-0.18 (0.03) 	
			12_1_3			[f1-p] 0.97 	+-0.18 (0.03) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 0.97 	+-0.18 (0.03) 	
	OVERALL
		x_x_x	[tp-pairs] 171.0	[fp-pairs] 12.0	[tn-pairs] 213.0	[fn-pairs] 54.0	[f1-pairs] 0.84	+-1.44(4.27)
				[tp-adj] 171.0	[fp-adj] 12.0	[tn-adj] 0.0	[fn-adj] 54.0	[f1-adj] 0.84	+-1.44(4.27)
				[tp] 900.0	[fp] 0.0	[tn] 0.0	[fn] 0.0	[f1] 1.0	+-0.0(0.0)
				[jacc] 0.85	[ari] 1.0	[ami] 1.0

cocoracle
CONTEXTS_OBSSHIFT_CFDSHIFT
	METRIC:mi
			2_1_1			[f1-p] 0.5 	+-0.51 (0.26) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 0.5 	+-0.51 (0.26) 	
			3_1_1			[f1-p] 0.5 	+-0.51 (0.26) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 0.5 	+-0.51 (0.26) 	
			3_1_2			[f1-p] 0.5 	+-0.51 (0.26) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 0.5 	+-0.51 (0.26) 	
			5_1_1			[f1-p] 0.5 	+-0.51 (0.26) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 0.5 	+-0.51 (0.26) 	
			5_1_2			[f1-p] 0.5 	+-0.51 (0.26) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 0.5 	+-0.51 (0.26) 	
			5_1_3			[f1-p] 0.5 	+-0.51 (0.26) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 0.5 	+-0.51 (0.26) 	
			8_1_1			[f1-p] 0.5 	+-0.51 (0.26) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 0.5 	+-0.51 (0.26) 	
			8_1_2			[f1-p] 0.5 	+-0.51 (0.26) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 0.5 	+-0.51 (0.26) 	
