X	oracle	oracle_conf	coco	coco_conf
1	1.0	0.0	0.79	0.04
2	0.92	0.03	0.59	0.02
3	0.59	0.01	0.43	0.03
4	0.65	0.03	0.39	0.02X	oracle	oracle_conf	coco	coco_conf
1	1.0	0.0	0.59	0.19
2	0.94	0.02	0.48	0.14
3	0.82	0.02	0.35	0.09
4	0.78	0.02	0.42	0.07X	oracle	oracle_conf	coco	coco_conf
2	0.77	0.03	0.77	0.03
3	0.77	0.03	0.77	0.03
4	0.81	0.03	0.76	0.03
5	1.0	0.0	0.82	0.04
6	1.0	0.0	0.82	0.04
7	1.0	0.0	0.82	0.04
8	1.0	0.0	0.82	0.04
9	1.0	0.0	0.82	0.04
10	1.0	0.0	0.82	0.04X	oracle	oracle_conf	coco	coco_conf
2	0.0	0.0	0.0	0.0
3	0.0	0.0	0.0	0.0
4	0.1	0.1	0.05	0.02
5	1.0	0.0	0.42	0.22
6	1.0	0.0	0.42	0.22
7	1.0	0.0	0.42	0.22
8	1.0	0.0	0.42	0.22
9	1.0	0.0	0.42	0.22
10	1.0	0.0	0.42	0.22
