X	oracle	oracle_conf	coco	coco_conf
2	0.0	0.0	0.0	0.0
3	0.0	0.0	0.0	0.0
4	0.1	0.1	0.0	0.0
5	1.0	0.0	0.0	0.0
6	1.0	0.0	0.0	0.0
7	1.0	0.0	0.0	0.0
8	1.0	0.0	0.0	0.0
9	1.0	0.0	0.0	0.0
10	1.0	0.0	0.0	0.0
11	1.0	0.0	0.0	0.0
12	1.0	0.0	0.0	0.0
13	1.0	0.0	0.0	0.0
14	1.0	0.0	0.0	0.0
15	1.0	0.0	0.0	0.0
16	1.0	0.0	0.0	0.0
17	1.0	0.0	0.0	0.0
18	1.0	0.0	0.0	0.0
19	1.0	0.0	0.0	0.0
20	1.0	0.0	0.0	0.0X	oracle	oracle_conf	coco	coco_conf
3	0.0	0.0	0.0	0.0
4	0.75	0.08	0.0	0.0
5	0.92	0.01	0.0	0.0
6	0.89	0.05	0.0	0.0
7	0.92	0.02	0.0	0.0
8	1.0	0.0	0.0	0.0
9	0.98	0.0	0.0	0.0
10	0.96	0.02	0.0	0.0
