X	5_1_20_sx_0	5_1_20_sx_0_conf	5_1_20_sx_1	5_1_20_sx_1_conf	5_1_20_sx_2	5_1_20_sx_2_conf	5_1_20_sx_3	5_1_20_sx_3_conf	5_1_20_sx_4	5_1_20_sx_4_conf	5_1_20_sx_5	5_1_20_sx_5_conf	5_1_20_sx_6	5_1_20_sx_6_conf	5_1_20_sx_7	5_1_20_sx_7_conf	5_1_20_sx_8	5_1_20_sx_8_conf	5_1_20_sx_9	5_1_20_sx_9_conf	5_1_20_sx_10	5_1_20_sx_10_conf	5_1_20_sx_11	5_1_20_sx_11_conf	5_1_20_sx_12	5_1_20_sx_12_conf	5_1_20_sx_13	5_1_20_sx_13_conf	5_1_20_sx_14	5_1_20_sx_14_conf	5_1_20_sx_15	5_1_20_sx_15_conf	5_1_20_sx_16	5_1_20_sx_16_conf	5_1_20_sx_17	5_1_20_sx_17_conf	5_1_20_sx_18	5_1_20_sx_18_conf	5_1_20_sx_19	5_1_20_sx_19_conf
0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	0.34	0.13	0.47	0.21	0.58	0.21	0.53	0.22	0.54	0.22	0.57	0.21	0.57	0.21	0.59	0.22	0.54	0.23	0.48	0.25	0.51	0.23	0.48	0.25	0.47	0.24	0.44	0.25	0.43	0.24	0.42	0.23	0.39	0.19	0.3	0.11	0.27	0.11	0.07	0.01
2	0.52	0.2	0.58	0.21	0.59	0.22	0.57	0.24	0.55	0.23	0.55	0.23	0.54	0.24	0.57	0.24	0.55	0.24	0.56	0.24	0.57	0.24	0.53	0.24	0.54	0.24	0.5	0.21	0.39	0.16	0.42	0.16	0.32	0.1	0.24	0.07	0.07	0.01	0.07	0.01
3	0.57	0.2	0.6	0.21	0.61	0.22	0.61	0.22	0.6	0.22	0.61	0.23	0.61	0.22	0.62	0.23	0.62	0.23	0.6	0.23	0.62	0.22	0.6	0.22	0.45	0.18	0.43	0.16	0.4	0.14	0.36	0.11	0.28	0.08	0.2	0.05	0.06	0.01	0.06	0.01
4	0.59	0.21	0.61	0.22	0.63	0.23	0.61	0.22	0.59	0.21	0.59	0.23	0.58	0.22	0.57	0.23	0.57	0.23	0.51	0.2	0.53	0.22	0.46	0.18	0.41	0.14	0.35	0.13	0.34	0.1	0.3	0.08	0.2	0.05	0.13	0.03	0.07	0.01	0.07	0.01
5	0.59	0.22	0.62	0.22	0.61	0.22	0.59	0.22	0.55	0.22	0.55	0.22	0.54	0.22	0.55	0.22	0.5	0.21	0.48	0.19	0.45	0.17	0.42	0.17	0.39	0.15	0.35	0.12	0.31	0.08	0.31	0.11	0.2	0.06	0.17	0.05	0.06	0.01	0.06	0.01
6	0.62	0.22	0.62	0.22	0.61	0.22	0.57	0.2	0.56	0.22	0.55	0.22	0.54	0.22	0.52	0.22	0.48	0.19	0.47	0.19	0.38	0.16	0.35	0.15	0.33	0.14	0.32	0.1	0.3	0.11	0.29	0.1	0.26	0.07	0.27	0.1	0.23	0.09	0.06	0.01
7	0.59	0.2	0.6	0.21	0.58	0.21	0.57	0.2	0.57	0.2	0.52	0.21	0.51	0.19	0.48	0.17	0.45	0.17	0.41	0.15	0.37	0.14	0.32	0.11	0.32	0.11	0.3	0.1	0.27	0.1	0.23	0.05	0.14	0.03	0.1	0.02	0.05	0.01	0.05	0.01
8	0.52	0.18	0.53	0.18	0.53	0.18	0.48	0.18	0.49	0.19	0.49	0.18	0.49	0.19	0.43	0.16	0.4	0.16	0.39	0.15	0.34	0.12	0.3	0.11	0.3	0.11	0.29	0.1	0.25	0.09	0.21	0.06	0.13	0.03	0.09	0.02	0.04	0.01	0.04	0.01
9	0.49	0.16	0.47	0.15	0.5	0.17	0.46	0.18	0.42	0.15	0.41	0.16	0.41	0.16	0.42	0.17	0.39	0.16	0.35	0.12	0.32	0.11	0.26	0.09	0.25	0.09	0.24	0.1	0.19	0.07	0.15	0.04	0.12	0.03	0.09	0.02	0.05	0.01	0.05	0.01
10	0.5	0.16	0.49	0.15	0.49	0.16	0.47	0.16	0.44	0.14	0.42	0.13	0.39	0.11	0.38	0.12	0.36	0.13	0.31	0.1	0.29	0.09	0.27	0.1	0.27	0.11	0.25	0.11	0.21	0.08	0.17	0.05	0.12	0.03	0.1	0.03	0.05	0.01	0.05	0.01
11	0.45	0.16	0.43	0.14	0.41	0.13	0.34	0.09	0.34	0.08	0.29	0.09	0.3	0.08	0.32	0.08	0.29	0.09	0.25	0.08	0.22	0.07	0.23	0.08	0.2	0.06	0.18	0.06	0.17	0.05	0.14	0.04	0.11	0.03	0.08	0.01	0.05	0.01	0.05	0.01
12	0.3	0.07	0.32	0.08	0.34	0.09	0.31	0.09	0.29	0.07	0.24	0.06	0.25	0.06	0.25	0.06	0.24	0.06	0.24	0.06	0.2	0.05	0.17	0.05	0.17	0.04	0.15	0.04	0.12	0.03	0.11	0.03	0.09	0.03	0.07	0.01	0.04	0.01	0.03	0.0
13	0.23	0.05	0.24	0.05	0.28	0.06	0.28	0.07	0.25	0.06	0.24	0.06	0.25	0.06	0.24	0.06	0.24	0.06	0.22	0.05	0.18	0.04	0.17	0.05	0.15	0.04	0.13	0.03	0.12	0.03	0.09	0.02	0.07	0.02	0.04	0.01	0.02	0.0	0.02	0.0
14	0.24	0.06	0.22	0.05	0.21	0.04	0.22	0.05	0.2	0.04	0.18	0.03	0.19	0.04	0.21	0.04	0.21	0.06	0.19	0.04	0.16	0.04	0.15	0.04	0.11	0.03	0.09	0.03	0.09	0.03	0.07	0.02	0.05	0.02	0.02	0.0	0.02	0.0	0.02	0.0
15	0.19	0.07	0.2	0.08	0.2	0.07	0.21	0.07	0.19	0.06	0.16	0.05	0.16	0.05	0.16	0.05	0.15	0.04	0.13	0.03	0.11	0.02	0.11	0.02	0.11	0.02	0.12	0.02	0.1	0.02	0.1	0.02	0.09	0.02	0.07	0.01	0.03	0.0	0.01	0.0
16	0.27	0.07	0.27	0.07	0.27	0.07	0.23	0.06	0.21	0.05	0.19	0.04	0.19	0.04	0.19	0.04	0.16	0.04	0.13	0.03	0.12	0.03	0.11	0.02	0.1	0.02	0.1	0.02	0.09	0.02	0.08	0.02	0.08	0.02	0.07	0.01	0.03	0.0	0.01	0.0
17	0.12	0.02	0.09	0.01	0.07	0.01	0.07	0.01	0.07	0.01	0.06	0.01	0.04	0.01	0.04	0.01	0.03	0.0	0.02	0.0	0.02	0.0	0.02	0.0	0.02	0.0	0.02	0.0	0.02	0.0	0.02	0.0	0.02	0.0	0.02	0.0	0.01	0.0	0.0	0.0
18	0.04	0.01	0.04	0.01	0.04	0.01	0.04	0.01	0.04	0.01	0.04	0.01	0.04	0.01	0.04	0.01	0.03	0.0	0.03	0.0	0.03	0.0	0.03	0.0	0.03	0.0	0.03	0.0	0.03	0.0	0.03	0.0	0.02	0.0	0.02	0.0	0.0	0.0	0.0	0.0
