X	5_1_20_0_sz	5_1_20_0_sz_conf	5_1_20_1_sz	5_1_20_1_sz_conf	5_1_20_2_sz	5_1_20_2_sz_conf	5_1_20_3_sz	5_1_20_3_sz_conf	5_1_20_4_sz	5_1_20_4_sz_conf	5_1_20_5_sz	5_1_20_5_sz_conf	5_1_20_6_sz	5_1_20_6_sz_conf	5_1_20_7_sz	5_1_20_7_sz_conf	5_1_20_8_sz	5_1_20_8_sz_conf	5_1_20_9_sz	5_1_20_9_sz_conf	5_1_20_10_sz	5_1_20_10_sz_conf	5_1_20_11_sz	5_1_20_11_sz_conf	5_1_20_12_sz	5_1_20_12_sz_conf	5_1_20_13_sz	5_1_20_13_sz_conf	5_1_20_14_sz	5_1_20_14_sz_conf	5_1_20_15_sz	5_1_20_15_sz_conf	5_1_20_16_sz	5_1_20_16_sz_conf	5_1_20_17_sz	5_1_20_17_sz_conf	5_1_20_18_sz	5_1_20_18_sz_conf	5_1_20_19_sz	5_1_20_19_sz_conf
0	0.0	0.0	0.34	0.13	0.53	0.2	0.57	0.2	0.59	0.21	0.59	0.22	0.6	0.22	0.56	0.2	0.52	0.18	0.51	0.17	0.48	0.15	0.28	0.06	0.3	0.07	0.34	0.08	0.24	0.06	0.13	0.03	0.27	0.07	0.12	0.02	0.04	0.01	0.0	0.0
1	0.0	0.0	0.47	0.21	0.59	0.21	0.6	0.21	0.62	0.22	0.62	0.22	0.6	0.22	0.6	0.21	0.53	0.18	0.53	0.17	0.47	0.14	0.36	0.09	0.3	0.07	0.35	0.08	0.22	0.05	0.14	0.04	0.27	0.07	0.09	0.01	0.04	0.01	0.0	0.0
2	0.0	0.0	0.58	0.21	0.59	0.22	0.6	0.22	0.63	0.23	0.6	0.22	0.6	0.22	0.57	0.2	0.56	0.2	0.53	0.19	0.49	0.16	0.39	0.12	0.29	0.07	0.34	0.08	0.21	0.04	0.16	0.05	0.27	0.07	0.07	0.01	0.04	0.01	0.0	0.0
3	0.0	0.0	0.53	0.22	0.57	0.24	0.61	0.22	0.61	0.22	0.59	0.21	0.56	0.2	0.56	0.2	0.54	0.18	0.47	0.18	0.46	0.14	0.37	0.1	0.28	0.07	0.31	0.1	0.22	0.05	0.19	0.06	0.23	0.06	0.07	0.01	0.04	0.01	0.0	0.0
4	0.0	0.0	0.53	0.22	0.55	0.23	0.6	0.22	0.59	0.21	0.55	0.22	0.55	0.2	0.54	0.22	0.51	0.2	0.43	0.15	0.43	0.12	0.34	0.1	0.27	0.07	0.28	0.07	0.2	0.04	0.17	0.05	0.19	0.06	0.07	0.01	0.04	0.01	0.0	0.0
5	0.0	0.0	0.57	0.21	0.55	0.23	0.61	0.23	0.59	0.23	0.55	0.22	0.51	0.2	0.51	0.2	0.46	0.18	0.39	0.15	0.4	0.12	0.3	0.11	0.25	0.06	0.27	0.07	0.18	0.03	0.14	0.03	0.17	0.04	0.06	0.01	0.04	0.01	0.0	0.0
6	0.0	0.0	0.57	0.21	0.54	0.24	0.61	0.22	0.58	0.22	0.53	0.22	0.51	0.2	0.49	0.18	0.44	0.17	0.39	0.15	0.39	0.11	0.32	0.1	0.25	0.06	0.27	0.06	0.19	0.04	0.12	0.02	0.16	0.04	0.04	0.01	0.04	0.01	0.0	0.0
7	0.0	0.0	0.59	0.22	0.57	0.24	0.62	0.23	0.57	0.23	0.54	0.22	0.5	0.21	0.48	0.17	0.36	0.14	0.4	0.16	0.37	0.1	0.34	0.1	0.27	0.07	0.28	0.06	0.21	0.04	0.12	0.02	0.16	0.04	0.04	0.01	0.04	0.01	0.0	0.0
8	0.0	0.0	0.52	0.22	0.55	0.24	0.62	0.23	0.57	0.23	0.5	0.21	0.47	0.18	0.45	0.17	0.38	0.15	0.37	0.14	0.36	0.12	0.29	0.1	0.23	0.06	0.24	0.06	0.21	0.06	0.12	0.03	0.11	0.03	0.03	0.0	0.03	0.0	0.0	0.0
9	0.0	0.0	0.47	0.24	0.56	0.24	0.6	0.23	0.51	0.2	0.48	0.19	0.46	0.18	0.41	0.15	0.38	0.15	0.32	0.11	0.31	0.1	0.23	0.07	0.24	0.07	0.21	0.06	0.2	0.06	0.11	0.02	0.09	0.03	0.02	0.0	0.03	0.0	0.0	0.0
