X	5_1_20_0_sz	5_1_20_0_sz_conf	5_1_20_1_sz	5_1_20_1_sz_conf	5_1_20_2_sz	5_1_20_2_sz_conf	5_1_20_3_sz	5_1_20_3_sz_conf	5_1_20_4_sz	5_1_20_4_sz_conf	5_1_20_5_sz	5_1_20_5_sz_conf	5_1_20_6_sz	5_1_20_6_sz_conf	5_1_20_7_sz	5_1_20_7_sz_conf	5_1_20_8_sz	5_1_20_8_sz_conf	5_1_20_9_sz	5_1_20_9_sz_conf	5_1_20_10_sz	5_1_20_10_sz_conf	5_1_20_11_sz	5_1_20_11_sz_conf	5_1_20_12_sz	5_1_20_12_sz_conf	5_1_20_13_sz	5_1_20_13_sz_conf	5_1_20_14_sz	5_1_20_14_sz_conf	5_1_20_15_sz	5_1_20_15_sz_conf	5_1_20_16_sz	5_1_20_16_sz_conf	5_1_20_17_sz	5_1_20_17_sz_conf	5_1_20_18_sz	5_1_20_18_sz_conf	5_1_20_19_sz	5_1_20_19_sz_conf
0	0.0	0.0	0.55	0.1	0.89	0.03	0.93	0.02	0.93	0.02	0.92	0.04	0.92	0.03	0.91	0.03	0.87	0.04	0.75	0.07	0.65	0.09	0.49	0.06	0.47	0.05	0.6	0.07	0.36	0.04	0.16	0.02	0.36	0.07	0.2	0.06	0.04	0.01	0.0	0.0
1	1.0	0.0	1.0	0.0	1.0	0.0	0.99	0.0	0.99	0.0	0.98	0.0	0.98	0.0	0.95	0.01	0.89	0.03	0.83	0.04	0.67	0.07	0.62	0.05	0.47	0.06	0.6	0.07	0.33	0.03	0.25	0.06	0.34	0.06	0.17	0.07	0.04	0.01	0.0	0.0
2	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.99	0.0	0.96	0.01	0.95	0.01	0.85	0.02	0.72	0.07	0.63	0.04	0.58	0.05	0.52	0.08	0.36	0.04	0.34	0.06	0.32	0.06	0.14	0.05	0.04	0.01	0.0	0.0
3	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.99	0.0	0.95	0.01	0.82	0.04	0.77	0.04	0.64	0.04	0.61	0.06	0.5	0.08	0.4	0.05	0.42	0.06	0.28	0.03	0.08	0.01	0.04	0.01	0.0	0.0
4	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.94	0.01	0.88	0.02	0.78	0.03	0.71	0.04	0.59	0.05	0.44	0.08	0.45	0.07	0.45	0.07	0.25	0.03	0.08	0.01	0.04	0.01	0.0	0.0
5	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.99	0.0	0.94	0.01	0.86	0.03	0.84	0.02	0.75	0.03	0.58	0.05	0.47	0.08	0.51	0.06	0.41	0.07	0.24	0.03	0.06	0.01	0.04	0.01	0.0	0.0
6	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.99	0.0	0.96	0.01	0.88	0.03	0.84	0.02	0.7	0.04	0.5	0.07	0.54	0.05	0.52	0.06	0.39	0.07	0.23	0.03	0.04	0.01	0.04	0.01	0.0	0.0
7	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.99	0.0	0.93	0.01	0.86	0.03	0.79	0.03	0.7	0.04	0.49	0.07	0.54	0.06	0.51	0.07	0.41	0.06	0.22	0.03	0.04	0.01	0.04	0.01	0.0	0.0
8	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.97	0.01	0.91	0.01	0.85	0.03	0.75	0.05	0.61	0.07	0.5	0.08	0.58	0.06	0.51	0.07	0.35	0.07	0.19	0.03	0.04	0.01	0.04	0.01	0.0	0.0
9	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.99	0.0	0.98	0.0	0.94	0.01	0.86	0.06	0.73	0.06	0.72	0.04	0.61	0.07	0.58	0.07	0.46	0.08	0.3	0.07	0.16	0.03	0.03	0.01	0.04	0.01	0.0	0.0
