X	5_1_10_sx_sz	5_1_10_sx_sz_conf
0
1
2
3
4
5
6
7
8
9	1.0	0.0X	5_1_10_0_0	5_1_10_0_0_conf	5_1_10_1_1	5_1_10_1_1_conf	5_1_10_2_2	5_1_10_2_2_conf	5_1_10_3_3	5_1_10_3_3_conf	5_1_10_4_4	5_1_10_4_4_conf	5_1_10_5_5	5_1_10_5_5_conf	5_1_10_6_6	5_1_10_6_6_conf	5_1_10_7_7	5_1_10_7_7_conf	5_1_10_8_8	5_1_10_8_8_conf	5_1_10_9_9	5_1_10_9_9_conf
0	1.0	0.0
1	1.0	0.0
2	1.0	0.0
3	1.0	0.0
4	1.0	0.0
5	1.0	0.0
6	1.0	0.0
7	1.0	0.0
8	1.0	0.0
9	1.0	0.0X	5_1_10_0_0	5_1_10_0_0_conf	5_1_10_1_1	5_1_10_1_1_conf	5_1_10_2_2	5_1_10_2_2_conf	5_1_10_3_3	5_1_10_3_3_conf	5_1_10_4_4	5_1_10_4_4_conf
0	1.0	0.0
1	1.0	0.0
2	1.0	0.0
3	1.0	0.0
4	1.0	0.0X	5_1_10_0_0	5_1_10_0_0_conf	5_1_10_1_1	5_1_10_1_1_conf	5_1_10_2_2	5_1_10_2_2_conf	5_1_10_3_3	5_1_10_3_3_conf	5_1_10_4_4	5_1_10_4_4_conf	5_1_10_5_5	5_1_10_5_5_conf	5_1_10_6_6	5_1_10_6_6_conf	5_1_10_7_7	5_1_10_7_7_conf	5_1_10_8_8	5_1_10_8_8_conf	5_1_10_9_9	5_1_10_9_9_conf	5_1_10_10_10	5_1_10_10_10_conf	5_1_10_11_11	5_1_10_11_11_conf	5_1_10_12_12	5_1_10_12_12_conf	5_1_10_13_13	5_1_10_13_13_conf	5_1_10_14_14	5_1_10_14_14_conf	5_1_10_15_15	5_1_10_15_15_conf	5_1_10_16_16	5_1_10_16_16_conf	5_1_10_17_17	5_1_10_17_17_conf	5_1_10_18_18	5_1_10_18_18_conf	5_1_10_19_19	5_1_10_19_19_conf
0	1.0	0.0
1	1.0	0.0
2	1.0	0.0
3	1.0	0.0
4	1.0	0.0
5	1.0	0.0
6	1.0	0.0
7	1.0	0.0
8	1.0	0.0
9	1.0	0.0
10	1.0	0.0
11	1.0	0.0
12	1.0	0.0
13	1.0	0.0
14	1.0	0.0
15	1.0	0.0
16	1.0	0.0
17	1.0	0.0
18	1.0	0.0
