X	5_1_10_0_sz	5_1_10_0_sz_conf	5_1_10_1_sz	5_1_10_1_sz_conf	5_1_10_2_sz	5_1_10_2_sz_conf	5_1_10_3_sz	5_1_10_3_sz_conf	5_1_10_4_sz	5_1_10_4_sz_conf	5_1_10_5_sz	5_1_10_5_sz_conf	5_1_10_6_sz	5_1_10_6_sz_conf	5_1_10_7_sz	5_1_10_7_sz_conf	5_1_10_8_sz	5_1_10_8_sz_conf	5_1_10_9_sz	5_1_10_9_sz_conf
0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0
1	0.14	0.04	0.64	0.26	0.8	0.08	0.8	0.08	0.8	0.08	0.8	0.08	0.73	0.14	0.75	0.12	0.64	0.26	0.0	0.0
2	0.12	0.03	0.62	0.28	0.77	0.1	0.88	0.03	0.93	0.01	0.93	0.01	0.8	0.08	0.72	0.15	0.64	0.26	0.0	0.0
3	0.0	0.0	0.75	0.12	0.75	0.12	0.75	0.12	0.72	0.15	0.72	0.15	0.79	0.09	0.64	0.26	0.0	0.0	0.0	0.0
4	0.22	0.1	0.62	0.28	0.62	0.28	0.79	0.09	0.7	0.18	0.83	0.06	0.67	0.22	0.5	0.5	0.0	0.0	0.0	0.0
5	0.0	0.0	0.5	0.5	0.5	0.5	0.7	0.18	0.75	0.12	0.9	0.02	0.25	0.12	0.5	0.5	0.0	0.0	0.0	0.0
6	0.25	0.12	0.75	0.12	0.75	0.12	0.75	0.12	0.75	0.12	0.25	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7	0.17	0.06	0.5	0.5	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0X	5_1_10_0_sz	5_1_10_0_sz_conf	5_1_10_1_sz	5_1_10_1_sz_conf	5_1_10_2_sz	5_1_10_2_sz_conf	5_1_10_3_sz	5_1_10_3_sz_conf	5_1_10_4_sz	5_1_10_4_sz_conf	5_1_10_5_sz	5_1_10_5_sz_conf	5_1_10_6_sz	5_1_10_6_sz_conf	5_1_10_7_sz	5_1_10_7_sz_conf	5_1_10_8_sz	5_1_10_8_sz_conf	5_1_10_9_sz	5_1_10_9_sz_conf
0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0
1	0.14	0.04	0.64	0.26	0.8	0.08	0.8	0.08	0.8	0.08	0.8	0.08	0.73	0.14	0.75	0.12	0.64	0.26	0.0	0.0
2	0.12	0.03	0.62	0.28	0.77	0.1	0.88	0.03	0.93	0.01	0.93	0.01	0.8	0.08	0.72	0.15	0.64	0.26	0.0	0.0
3	0.0	0.0	0.75	0.12	0.75	0.12	0.75	0.12	0.72	0.15	0.72	0.15	0.79	0.09	0.64	0.26	0.0	0.0	0.0	0.0
4	0.22	0.1	0.62	0.28	0.62	0.28	0.79	0.09	0.7	0.18	0.83	0.06	0.67	0.22	0.5	0.5	0.0	0.0	0.0	0.0
5	0.0	0.0	0.5	0.5	0.5	0.5	0.7	0.18	0.75	0.12	0.9	0.02	0.25	0.12	0.5	0.5	0.0	0.0	0.0	0.0
6	0.25	0.12	0.75	0.12	0.75	0.12	0.75	0.12	0.75	0.12	0.25	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7	0.17	0.06	0.5	0.5	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0X
5_1_10_0_sz	5_1_10_0_sz_conf	5_1_10_1_sz	5_1_10_1_sz_conf	5_1_10_2_sz	5_1_10_2_sz_conf	5_1_10_3_sz	5_1_10_3_sz_conf	5_1_10_4_sz	5_1_10_4_sz_conf	5_1_10_5_sz	5_1_10_5_sz_conf	5_1_10_6_sz	5_1_10_6_sz_conf	5_1_10_7_sz	5_1_10_7_sz_conf	5_1_10_8_sz	5_1_10_8_sz_conf	5_1_10_9_sz	5_1_10_9_sz_conf
0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0
1	0.14	0.04	0.64	0.26	0.8	0.08	0.8	0.08	0.8	0.08	0.8	0.08	0.73	0.14	0.75	0.12	0.64	0.26	0.0	0.0
