X	5_1_10_sx_0	5_1_10_sx_0_conf	5_1_10_sx_1	5_1_10_sx_1_conf	5_1_10_sx_2	5_1_10_sx_2_conf	5_1_10_sx_3	5_1_10_sx_3_conf	5_1_10_sx_4	5_1_10_sx_4_conf	5_1_10_sx_5	5_1_10_sx_5_conf	5_1_10_sx_6	5_1_10_sx_6_conf	5_1_10_sx_7	5_1_10_sx_7_conf	5_1_10_sx_8	5_1_10_sx_8_conf	5_1_10_sx_9	5_1_10_sx_9_conf
0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0
1	0.1	0.02	0.84	0.06	0.91	0.03	0.89	0.03	0.9	0.03	0.89	0.03	0.89	0.03	0.86	0.04	0.82	0.06	0.0	0.0
2	0.1	0.02	0.82	0.06	0.89	0.03	0.89	0.03	0.91	0.03	0.87	0.04	0.89	0.03	0.9	0.03	0.77	0.1	0.0	0.0
3	0.09	0.02	0.83	0.04	0.86	0.04	0.84	0.04	0.88	0.04	0.87	0.04	0.87	0.03	0.89	0.04	0.7	0.13	0.0	0.0
4	0.09	0.02	0.8	0.06	0.87	0.04	0.85	0.03	0.81	0.04	0.83	0.03	0.81	0.06	0.83	0.07	0.68	0.14	0.0	0.0
5	0.07	0.02	0.74	0.09	0.84	0.07	0.82	0.03	0.82	0.05	0.78	0.06	0.78	0.08	0.79	0.1	0.64	0.13	0.0	0.0
6	0.07	0.02	0.75	0.07	0.8	0.06	0.78	0.06	0.79	0.06	0.65	0.12	0.68	0.12	0.68	0.14	0.56	0.14	0.0	0.0
7	0.06	0.01	0.64	0.14	0.67	0.09	0.61	0.1	0.61	0.1	0.42	0.14	0.57	0.12	0.55	0.14	0.5	0.12	0.0	0.0
8	0.0	0.0	0.56	0.13	0.56	0.12	0.54	0.12	0.54	0.11	0.37	0.14	0.46	0.15	0.48	0.15	0.45	0.14	0.0	0.0
9	0.0	0.0	0.37	0.14	0.37	0.14	0.37	0.14	0.37	0.14	0.37	0.14	0.37	0.14	0.37	0.14	0.37	0.14	0.0	0.0X	5_1_10_sx_0	5_1_10_sx_0_conf	5_1_10_sx_1	5_1_10_sx_1_conf	5_1_10_sx_2	5_1_10_sx_2_conf	5_1_10_sx_3	5_1_10_sx_3_conf	5_1_10_sx_4	5_1_10_sx_4_conf	5_1_10_sx_5	5_1_10_sx_5_conf	5_1_10_sx_6	5_1_10_sx_6_conf	5_1_10_sx_7	5_1_10_sx_7_conf	5_1_10_sx_8	5_1_10_sx_8_conf	5_1_10_sx_9	5_1_10_sx_9_conf
0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0
1	0.51	0.06	0.73	0.05	0.82	0.04	0.84	0.04	0.83	0.05	0.8	0.05	0.79	0.05	0.8	0.04	0.76	0.07	0.0	0.0
2	0.48	0.07	0.64	0.1	0.8	0.05	0.82	0.06	0.83	0.05	0.81	0.06	0.83	0.06	0.79	0.08	0.64	0.14	0.0	0.0
3	0.5	0.06	0.65	0.06	0.69	0.05	0.74	0.06	0.69	0.07	0.68	0.07	0.73	0.08	0.7	0.09	0.5	0.14	0.0	0.0
4	0.49	0.06	0.44	0.08	0.54	0.05	0.56	0.06	0.61	0.06	0.54	0.11	0.65	0.07	0.61	0.09	0.37	0.12	0.0	0.0
5	0.42	0.07	0.47	0.09	0.5	0.08	0.56	0.04	0.48	0.07	0.46	0.08	0.5	0.08	0.44	0.11	0.27	0.11	0.0	0.0
6	0.31	0.05	0.46	0.06	0.54	0.06	0.56	0.05	0.46	0.06	0.43	0.05	0.38	0.05	0.29	0.07	0.18	0.05	0.0	0.0
7	0.45	0.05	0.4	0.06	0.36	0.08	0.32	0.07	0.3	0.05	0.24	0.05	0.22	0.05	0.16	0.05	0.1	0.02	0.0	0.0
8	0.28	0.08	0.26	0.08	0.22	0.09	0.19	0.08	0.18	0.08	0.1	0.04	0.09	0.04	0.05	0.03	0.01	0.0	0.0	0.0
9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
