X	5_1_10_0_sz	5_1_10_0_sz_conf	5_1_10_1_sz	5_1_10_1_sz_conf	5_1_10_2_sz	5_1_10_2_sz_conf	5_1_10_3_sz	5_1_10_3_sz_conf	5_1_10_4_sz	5_1_10_4_sz_conf
0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0
1	0.14	0.04	0.64	0.26	0.8	0.08	0.8	0.08	0.8	0.08
2	0.12	0.03	0.62	0.28	0.77	0.1	0.88	0.03	0.93	0.01
3	0.0	0.0	0.75	0.12	0.75	0.12	0.75	0.12	0.64	0.26
4	0.22	0.1	0.62	0.28	0.62	0.28	0.79	0.09	0.67	0.22
X	5_1_10_0_sz	5_1_10_0_sz_conf	5_1_10_1_sz	5_1_10_1_sz_conf	5_1_10_2_sz	5_1_10_2_sz_conf	5_1_10_3_sz	5_1_10_3_sz_conf	5_1_10_4_sz	5_1_10_4_sz_conf
0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0
1	0.14	0.04	0.64	0.26	0.8	0.08	0.8	0.08	0.8	0.08
2	0.12	0.03	0.62	0.28	0.77	0.1	0.88	0.03	0.93	0.01
3	0.0	0.0	0.75	0.12	0.75	0.12	0.75	0.12	0.64	0.26
4	0.22	0.1	0.62	0.28	0.62	0.28	0.79	0.09	0.67	0.22
