X	5_1_20_sx_0	5_1_20_sx_0_conf	5_1_20_sx_1	5_1_20_sx_1_conf	5_1_20_sx_2	5_1_20_sx_2_conf	5_1_20_sx_3	5_1_20_sx_3_conf	5_1_20_sx_4	5_1_20_sx_4_conf	5_1_20_sx_5	5_1_20_sx_5_conf	5_1_20_sx_6	5_1_20_sx_6_conf	5_1_20_sx_7	5_1_20_sx_7_conf	5_1_20_sx_8	5_1_20_sx_8_conf	5_1_20_sx_9	5_1_20_sx_9_conf	5_1_20_sx_10	5_1_20_sx_10_conf	5_1_20_sx_11	5_1_20_sx_11_conf	5_1_20_sx_12	5_1_20_sx_12_conf	5_1_20_sx_13	5_1_20_sx_13_conf	5_1_20_sx_14	5_1_20_sx_14_conf	5_1_20_sx_15	5_1_20_sx_15_conf	5_1_20_sx_16	5_1_20_sx_16_conf	5_1_20_sx_17	5_1_20_sx_17_conf	5_1_20_sx_18	5_1_20_sx_18_conf	5_1_20_sx_19	5_1_20_sx_19_conf
0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0
1	0.49	0.06	0.75	0.09	0.72	0.08	0.74	0.08	0.74	0.08	0.73	0.08	0.73	0.08	0.72	0.08	0.73	0.08	0.75	0.09	0.74	0.09	0.75	0.09	0.75	0.09	0.76	0.09	0.76	0.09	0.77	0.09	0.78	0.08	0.72	0.07	0.77	0.08	0.0	0.0
2	0.67	0.06	0.72	0.08	0.72	0.08	0.73	0.08	0.73	0.08	0.73	0.08	0.75	0.08	0.73	0.08	0.74	0.08	0.73	0.08	0.73	0.08	0.75	0.07	0.75	0.08	0.76	0.07	0.78	0.07	0.78	0.06	0.79	0.06	0.69	0.07	0.79	0.07	0.0	0.0
3	0.69	0.06	0.72	0.07	0.72	0.08	0.72	0.07	0.72	0.07	0.72	0.08	0.72	0.07	0.71	0.08	0.71	0.08	0.72	0.08	0.71	0.07	0.72	0.07	0.76	0.07	0.77	0.07	0.78	0.06	0.79	0.06	0.81	0.05	0.66	0.05	0.77	0.09	0.0	0.0
4	0.69	0.07	0.71	0.08	0.71	0.08	0.72	0.07	0.72	0.07	0.73	0.08	0.73	0.07	0.73	0.08	0.73	0.08	0.74	0.07	0.74	0.08	0.75	0.08	0.77	0.07	0.77	0.06	0.77	0.06	0.8	0.05	0.79	0.05	0.59	0.06	0.7	0.09	0.0	0.0
5	0.68	0.08	0.71	0.07	0.72	0.07	0.72	0.07	0.73	0.07	0.73	0.07	0.74	0.07	0.74	0.07	0.75	0.07	0.75	0.07	0.76	0.07	0.77	0.07	0.77	0.06	0.78	0.06	0.79	0.05	0.8	0.04	0.78	0.04	0.57	0.05	0.64	0.08	0.0	0.0
6	0.71	0.07	0.71	0.07	0.71	0.07	0.72	0.07	0.73	0.08	0.73	0.07	0.74	0.07	0.75	0.07	0.75	0.07	0.75	0.07	0.78	0.07	0.79	0.07	0.77	0.08	0.78	0.06	0.79	0.05	0.79	0.05	0.69	0.05	0.49	0.06	0.47	0.1	0.0	0.0
7	0.69	0.08	0.69	0.07	0.71	0.07	0.72	0.07	0.73	0.07	0.74	0.07	0.74	0.07	0.74	0.07	0.75	0.07	0.76	0.06	0.76	0.07	0.77	0.06	0.73	0.08	0.76	0.05	0.75	0.05	0.76	0.04	0.61	0.07	0.45	0.06	0.39	0.09	0.0	0.0
8	0.67	0.06	0.67	0.06	0.7	0.06	0.73	0.06	0.74	0.07	0.73	0.06	0.72	0.06	0.73	0.06	0.72	0.06	0.75	0.06	0.76	0.06	0.76	0.05	0.73	0.08	0.73	0.06	0.73	0.05	0.72	0.05	0.54	0.09	0.41	0.07	0.36	0.09	0.0	0.0
9	0.61	0.09	0.63	0.09	0.69	0.07	0.71	0.08	0.74	0.07	0.69	0.08	0.72	0.07	0.7	0.07	0.7	0.07	0.72	0.08	0.7	0.09	0.7	0.09	0.7	0.07	0.7	0.06	0.69	0.06	0.69	0.05	0.49	0.1	0.36	0.08	0.29	0.1	0.0	0.0
